Time,N-S Acceleration (𝑚∕𝑠^2 )(392 m),E-W Acceleration (𝑚∕𝑠^2 ) (392 m),Z Acceleration (𝑚∕𝑠^2 ) (392 m),N-S Acceleration (𝑚∕𝑠^2 ) (494 m),E-W Acceleration (𝑚∕𝑠^2 ) (494 m),Z Acceleration (𝑚∕𝑠^2 ) (494 m),,
07:58:00.000,0.013135316,-0.004302684,-0.004023289,0.016689244,-0.01762426,-0.029168917,,
07:58:00.005,0.013157748,-0.004309617,-0.004032637,0.016705149,-0.017642085,-0.029205785,,
07:58:00.010,0.013175381,-0.004319358,-0.004040132,0.016736495,-0.017666271,-0.029246996,,
07:58:00.015,0.013194218,-0.004328541,-0.004047971,0.016763401,-0.017688635,-0.029287646,,
07:58:00.020,0.013212988,-0.004337444,-0.004055791,0.016792228,-0.017712107,-0.029328482,,
07:58:00.025,0.013231437,-0.004347006,-0.004063487,0.016822361,-0.017735173,-0.029369108,,
07:58:00.030,0.013250039,-0.004356199,-0.004071284,0.016848603,-0.017757782,-0.029409932,,
07:58:00.035,0.013268535,-0.004365204,-0.004079134,0.016877255,-0.017781113,-0.029450436,,
07:58:00.040,0.013287592,-0.004374633,-0.004086977,0.016908366,-0.017804196,-0.02949156,,
07:58:00.045,0.01330596,-0.004383688,-0.004094698,0.016935991,-0.017827535,-0.029532514,,
07:58:00.050,0.013324411,-0.004393243,-0.004102616,0.016963672,-0.017850291,-0.029573293,,
07:58:00.055,0.013343848,-0.00440252,-0.004110538,0.016993477,-0.017873489,-0.029614108,,
07:58:00.060,0.013361779,-0.004411344,-0.004118294,0.017021576,-0.017896388,-0.029655225,,
07:58:00.065,0.013380581,-0.004421246,-0.004126148,0.017050586,-0.017919687,-0.029696157,,
07:58:00.070,0.013399771,-0.004430632,-0.004133974,0.017079422,-0.017943045,-0.029736987,,
07:58:00.075,0.013418153,-0.004439404,-0.00414197,0.017107644,-0.017965799,-0.029777946,,
07:58:00.080,0.013437036,-0.00444925,-0.004149823,0.017137278,-0.017989459,-0.029819458,,
07:58:00.085,0.013455759,-0.00445839,-0.004157669,0.017165313,-0.018012351,-0.029860104,,
07:58:00.090,0.013474275,-0.004467591,-0.004165665,0.017194414,-0.018035143,-0.029901334,,
