Datetime,GwP_170 m (MPa),GwP_360 m  (MPa),GwP_424 m  (MPa),GwP_464 m  (MPa)
7:30:00 AM,1.653244,3.535942,4.163119,4.495046
7:30:00 AM,1.65322,3.535942,4.163073,4.495063
7:30:00 AM,1.653219,3.535942,4.163073,4.495063
7:30:00 AM,1.653194,3.535911,4.163073,4.495083
7:30:00 AM,1.653194,3.535942,4.163095,4.495063
7:30:00 AM,1.653219,3.535942,4.163095,4.495083
7:30:00 AM,1.653244,3.535911,4.163071,4.495065
7:30:00 AM,1.653244,3.535942,4.163073,4.495063
7:30:00 AM,1.653194,3.535942,4.163073,4.495083
7:30:00 AM,1.653219,3.535942,4.163073,4.495083
7:30:00 AM,1.653244,3.535911,4.163119,4.495065
7:30:00 AM,1.653244,3.535942,4.163097,4.495046
7:30:00 AM,1.653194,3.535916,4.163073,4.495063
7:30:00 AM,1.65322,3.535942,4.163095,4.495083
7:30:00 AM,1.653244,3.535911,4.163073,4.495046
7:30:00 AM,1.653194,3.535911,4.163095,4.495063
7:30:00 AM,1.65322,3.535942,4.163095,4.495063
7:30:00 AM,1.653194,3.535942,4.163095,4.495065
7:30:00 AM,1.653219,3.535942,4.163095,4.495046
7:30:00 AM,1.65322,3.535942,4.163071,4.495046
7:30:00 AM,1.65322,3.535942,4.163073,4.495063
7:30:00 AM,1.653244,3.535942,4.163071,4.495065
7:30:00 AM,1.653194,3.535885,4.163095,4.495063
7:30:00 AM,1.653194,3.535942,4.163095,4.495083
7:30:00 AM,1.653194,3.535942,4.163073,4.495063
7:30:00 AM,1.65322,3.535916,4.163095,4.495046
7:30:00 AM,1.65322,3.535911,4.163073,4.495063
7:30:00 AM,1.65322,3.535916,4.163073,4.495063
7:30:00 AM,1.653194,3.535942,4.163095,4.495063
7:30:00 AM,1.653219,3.535916,4.163073,4.495063
7:30:00 AM,1.653194,3.535942,4.163073,4.495063
7:30:00 AM,1.653219,3.535916,4.163073,4.495083
7:30:00 AM,1.653194,3.535942,4.163095,4.495083
7:30:00 AM,1.653219,3.535942,4.163095,4.495063
7:30:00 AM,1.653219,3.535942,4.163095,4.495065
7:30:00 AM,1.653219,3.535885,4.163073,4.495063
7:30:00 AM,1.653219,3.535916,4.163095,4.495063
7:30:00 AM,1.653194,3.535942,4.163095,4.495065
7:30:00 AM,1.653244,3.535942,4.163073,4.495063
7:30:00 AM,1.65322,3.535942,4.163095,4.495065
7:30:00 AM,1.65322,3.535916,4.163073,4.495063
7:30:00 AM,1.653194,3.535942,4.163095,4.495063
7:30:00 AM,1.653194,3.535885,4.163073,4.495063
7:30:00 AM,1.653219,3.535911,4.163073,4.495083
7:30:00 AM,1.65322,3.535911,4.163049,4.495083
7:30:00 AM,1.653194,3.535916,4.163095,4.495046
7:30:00 AM,1.653194,3.535942,4.163073,4.495063
