Datetime,GwP_170 m (MPa),GwP_360 m  (MPa),GwP_424 m  (MPa),GwP_464 m  (MPa)
7:53:00 AM,1.65302,3.535629,4.163028,4.494992
7:53:00 AM,1.65302,3.535629,4.163052,4.494974
7:53:00 AM,1.65302,3.535629,4.163052,4.494974
7:53:00 AM,1.65302,3.535629,4.163052,4.494974
7:53:00 AM,1.65302,3.535629,4.163052,4.494974
7:53:00 AM,1.65302,3.535629,4.163052,4.494974
7:53:00 AM,1.65302,3.535629,4.163052,4.494992
7:53:00 AM,1.65302,3.535629,4.163052,4.494974
7:53:00 AM,1.65302,3.535656,4.163052,4.494992
7:53:00 AM,1.65302,3.535629,4.163028,4.494992
7:53:00 AM,1.65307,3.535629,4.163028,4.494992
7:53:00 AM,1.65302,3.535599,4.163028,4.494992
7:53:00 AM,1.65302,3.535629,4.163028,4.494992
7:53:00 AM,1.653045,3.535629,4.163028,4.494992
7:53:00 AM,1.65307,3.535599,4.163028,4.494992
7:53:00 AM,1.65307,3.535599,4.163028,4.494992
7:53:00 AM,1.65307,3.535599,4.163028,4.494992
7:53:00 AM,1.65307,3.535599,4.163006,4.494992
7:53:00 AM,1.65307,3.535599,4.163028,4.494992
7:53:00 AM,1.65302,3.535629,4.163052,4.494992
7:53:00 AM,1.65302,3.535629,4.163028,4.494992
7:53:00 AM,1.65302,3.535629,4.163052,4.494974
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535629,4.163052,4.494992
7:53:00 AM,1.65307,3.535599,4.163028,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535629,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535629,4.163052,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.16303,4.494992
7:53:00 AM,1.65302,3.535656,4.163052,4.494974
7:53:00 AM,1.65302,3.535656,4.163052,4.494974
7:53:00 AM,1.65302,3.535656,4.163052,4.494974
7:53:00 AM,1.65302,3.535656,4.163052,4.494974
